Depth [m],SSTR [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
216.01512,-37.8161,-0.4871
217.03607,-38.1928,0.5947
218.05702,-36.9,-1.1696
219.07797,-38.2041,0.3738
220.09892,-36.7541,-2.2741
221.11987,-37.4819,-0.4588
222.14082,-37.5711,-0.0524
223.16177,-37.0628,-0.7661
224.18272,-37.3375,-0.4121
225.20369,-36.4723,-1.7743
226.22464,-32.9436,-0.9827
227.24559,-37.3007,-0.6443
228.26654,-37.261,0.0694
229.28749,-37.2143,-1.4146
230.30844,-3.4806,0.3498
231.32939,-36.8376,-1.6185
232.35034,-36.056,6.2914
233.37129,-36.3874,-1.4882
234.39226,-36.318,0.742
235.41321,-57.1589,-0.623
236.43416,-36.5573,-0.6811
237.45511,-26.917,-0.5537
238.47606,-35.7728,-1.3976
239.49701,-35.0733,-2.0575
240.51796,-35.9385,-1.9399
241.53891,-36.7329,-0.6967
242.55986,-35.8209,-1.6058
243.58083,-36.8844,-1.2305
244.60178,-36.6975,-0.9176
245.62273,-36.1877,-1.1229
246.64368,-37.7864,0.2988
247.66463,-36.1934,-1.0762
248.68558,-36.0107,-3.4112
249.70653,-36.1594,-1.2886
250.72748,-36.6776,-0.616
251.74843,-36.3859,-1.9385
252.76939,-36.5261,-0.9006
253.79034,-36.3576,-1.4104
254.81129,-36.267,-1.2772
255.83224,-36.4964,-0.1883
256.85318,-36.5728,-0.8553
257.87415,-36.0772,-1.0748
258.89511,-36.4851,-1.2688
259.91605,-35.8252,-0.3172
260.93701,-36.0348,-1.7049
261.95795,-35.525,-2.1226
262.97891,-33.0739,-0.5183
263.99985,-28.9419,-0.4956
265.02081,-36.5502,-0.6641
266.04175,-36.1296,-1.1144
267.06271,-36.2387,-0.6344
268.08368,-37.4706,0.2761
269.10461,-36.7584,0.0028
270.12558,-36.5644,-0.6938
271.14651,-35.5618,-2.1042
272.16748,-36.6918,-0.5225
273.18842,-14.7506,-1.518
274.20938,-36.1934,-1.1484
275.23032,-37.3432,-1.188
276.25128,-37.0614,0.3115
277.27225,-36.9438,-0.2152
278.29318,-54.3424,-1.0408
279.31415,-37.4196,1.6582
280.33508,-36.9,-2.5757
281.35605,-37.2865,-0.6627
282.37698,-36.1452,-1.2319
283.39795,-34.7405,-1.872
284.41888,-36.3973,-1.4132
285.43985,-37.7156,-3.4324
286.46082,-36.2613,-0.9501
287.48175,-35.1384,-0.7491
288.50272,-35.9427,-1.8521
289.52365,-36.2868,-1.1824
290.54462,-0.0496,-0.3398
291.56555,-17.8616,-0.8808
292.58652,-35.8917,0.1657
293.60745,-36.1523,-1.2645
294.62842,-36.2203,0.2308
295.64938,-27.5443,-0.9983
296.67032,-36.5346,-0.1997
297.69128,-44.133,-0.9431
298.71222,-36.0022,-2.2982
299.73318,-35.474,-0.9388
300.75412,-6.1158,-1.9838
301.77509,-35.5392,-1.1866
302.79602,-36.1778,-2.8349
303.81699,-35.9286,-1.2617
304.83795,-36.0249,-1.2022
305.85889,-35.3522,-1.6624
306.87985,-36.1863,-0.9006
307.90079,-35.6737,-0.9162
308.92175,-34.5508,-1.6213
309.94269,-34.3101,-2.7329
310.96365,-36.2727,-0.6797
311.98459,-35.5547,-1.644
313.00555,-35.3664,-1.5293
314.02652,-34.2987,-1.913
315.04745,-3.3786,-2.3124
316.06842,-35.2291,-0.8779
317.08936,-35.3083,-2.09
318.11032,-35.6539,-1.0861
319.13126,-36.3746,-1.2815
320.15222,-37.1704,0.5154
321.17316,-35.416,-0.9162
322.19412,-34.3681,-0.5324
323.21509,-35.8663,-0.5069
324.23602,-35.988,-0.2365
325.25699,-36.0277,-1.0932
326.27792,-35.9781,-1.5307
327.29889,-35.9909,-0.7901
328.31982,-36.2613,-1.1838
329.34079,-35.5434,-0.7307
330.36172,-35.3622,-1.1739
