Depth [m],FBE5 [unitless]
,16/07/2023 05:53:18,16/07/2023 05:53:19
58.78851,741.1096,186.9017
59.80946,853.6696,510.768
60.83041,721.2509,131.3857
61.85136,734.6602,204.3384
62.87231,718.7476,131.1143
63.89327,730.213,155.027
64.91422,722.7881,149.153
65.93517,711.4889,84.5515
66.95612,720.1044,156.6206
67.97707,716.9053,120.8482
68.99802,850.0612,122.684
70.01898,712.2649,97.7774
71.03993,748.4045,248.1516
72.06088,714.0165,90.1096
73.08183,761.8696,277.3693
74.10278,1466.3016,1560.6891
75.12374,927.1687,542.813
76.14469,778.0218,297.6446
77.16564,712.6864,68.7906
78.18659,730.9621,166.8081
79.20755,719.5709,123.5618
80.2285,713.9513,98.148
81.24945,743.4274,207.1279
82.2704,723.2066,129.9165
83.29135,718.3638,124.0377
84.31231,883.8281,542.3624
85.33326,714.7208,110.7564
86.35421,713.9208,104.8894
87.37516,712.1625,88.2575
88.39612,722.69,138.1382
89.41707,713.5112,87.3459
90.43802,722.3165,161.3284
91.45897,788.0141,96.2568
92.47992,739.525,208.4428
93.50088,732.9156,189.59
94.52183,746.4865,212.6661
95.54278,718.1599,128.5336
96.56373,1133.8595,178.9503
97.58469,720.4152,142.1636
98.60564,735.8741,221.4542
99.62659,758.7758,225.9157
100.64754,727.8487,189.1558
101.66849,725.8478,165.0058
102.68945,766.1447,274.0853
103.7104,719.6014,145.6806
104.73135,760.1314,289.947
105.7523,923.446,330.1319
106.77325,719.5682,125.675
107.7942,728.636,190.1109
108.81516,728.2184,184.7018
109.83611,717.3516,126.1779
110.85706,745.9807,222.8427
111.87801,765.8842,249.4711
112.89896,717.479,129.9687
113.91991,743.204,261.7439
114.94086,749.5203,250.8488
115.96182,854.6762,253.341
116.98277,718.3047,155.8638
118.00372,885.1059,555.1342
119.02467,714.0122,108.035
120.04562,729.813,164.2771
121.06658,1255.2761,1109.9146
122.08753,754.856,226.4648
123.10848,717.4564,106.0484
124.12943,1001.2388,125.6161
125.15039,718.9223,127.7688
126.17134,844.6755,427.1653
127.19229,734.8501,197.2988
128.21324,729.5544,178.2318
129.23419,714.2717,114.2487
130.25514,750.4189,239.5232
131.27609,742.9914,244.5849
132.29706,746.3074,217.8557
133.31801,695.0042,72.9884
134.33896,871.715,548.2819
135.35991,720.9692,142.979
136.38086,814.1935,391.6221
137.40181,713.7567,77.8824
138.42276,715.4142,111.2291
139.44371,717.3737,115.0196
140.46466,726.621,179.5746
141.48563,892.2042,176.1812
142.50658,744.9051,211.978
143.52753,947.7314,158.1819
144.54848,800.0466,327.3633
145.56943,749.6107,206.2983
146.59038,762.8801,256.7273
147.61133,848.3358,398.8001
148.63228,727.2035,166.418
149.65323,720.1478,144.9907
150.67419,718.7299,117.2117
151.69514,716.5848,105.3062
152.71609,830.0746,464.3168
153.73705,712.8491,81.0019
154.758,713.3503,64.7104
155.77895,716.9398,108.2504
156.7999,733.8312,184.0696
157.82085,951.8517,430.898
158.8418,730.9932,156.7865
159.86276,714.8185,111.5442
160.88371,713.4288,81.5643
