Depth,2023-07-16 05:53:18
145.56943,-36.3973
146.59038,-37.1152
147.61133,-35.6425
148.63228,-35.0875
149.65323,-36.359
150.67419,-35.998
151.69514,-36.529
152.71609,-35.1186
153.73705,-36.4964
154.758,-36.2783
155.77895,-35.8733
156.7999,-37.1208
157.82085,-37.38
158.8418,-36.1792
159.86276,-36.9014
160.88371,-35.8592
161.90466,-35.7601
162.92561,-36.2854
163.94656,-36.6238
164.96751,610.1073
165.98846,-36.1466
167.00941,-35.5916
168.03036,-35.44
169.05133,-36.0957
170.07228,-37.5541
171.09323,-36.4936
172.11418,-36.0348
173.13513,-37.2001
174.15608,-36.4964
175.17703,-36.6182
176.19798,-36.7088
177.21893,-34.3355
178.23988,-36.8957
179.26085,-36.4865
180.2818,-36.6564
181.30275,-36.8391
182.3237,-36.5559
183.34465,-37.0699
184.3656,-37.0685
185.38655,-37.9804
186.4075,-36.7541
187.42845,-37.8699
188.44942,-36.0772
189.47037,-36.9467
190.49132,-36.6776
191.51227,-36.9509
192.53322,-36.4525
193.55417,-36.5006
194.57512,-36.6451
195.59607,-36.7499
196.61702,-39.0877
197.63799,-36.9523
198.65894,-36.8292
199.67989,-36.8815
200.70084,-37.6773
201.72179,-36.444
202.74274,-38.0568
203.76369,-37.1138
204.78464,-37.3814
205.80559,-37.4564
206.82655,-35.3721
207.8475,-37.5938
208.86845,-36.8716
209.8894,-37.2412
210.91035,-37.0968
211.9313,-37.5513
212.95226,-37.2596
213.97321,-36.6012
214.99416,-37.5457
216.01512,-37.8161
217.03607,-38.1928
218.05702,-36.9
219.07797,-38.2041
220.09892,-36.7541
221.11987,-37.4819
222.14082,-37.5711
223.16177,-37.0628
224.18272,-37.3375
225.20369,-36.4723
226.22464,-32.9436
227.24559,-37.3007
228.26654,-37.261
229.28749,-37.2143
230.30844,-3.4806
231.32939,-36.8376
232.35034,-36.056
233.37129,-36.3874
234.39226,-36.318
235.41321,-57.1589
236.43416,-36.5573
237.45511,-26.917
238.47606,-35.7728
239.49701,-35.0733
240.51796,-35.9385
241.53891,-36.7329
242.55986,-35.8209
243.58083,-36.8844
244.60178,-36.6975
245.62273,-36.1877
246.64368,-37.7864
247.66463,-36.1934
248.68558,-36.0107
249.70653,-36.1594
250.72748,-36.6776
251.74843,-36.3859
252.76939,-36.5261
253.79034,-36.3576
254.81129,-36.267
255.83224,-36.4964
256.85318,-36.5728
257.87415,-36.0772
258.89511,-36.4851
259.91605,-35.8252
260.93701,-36.0348
261.95795,-35.525
262.97891,-33.0739
263.99985,-28.9419
265.02081,-36.5502
266.04175,-36.1296
267.06271,-36.2387
268.08368,-37.4706
269.10461,-36.7584
270.12558,-36.5644
271.14651,-35.5618
272.16748,-36.6918
273.18842,-14.7506
274.20938,-36.1934
275.23032,-37.3432
276.25128,-37.0614
277.27225,-36.9438
278.29318,-54.3424
279.31415,-37.4196
280.33508,-36.9
281.35605,-37.2865
282.37698,-36.1452
283.39795,-34.7405
284.41888,-36.3973
285.43985,-37.7156
286.46082,-36.2613
287.48175,-35.1384
288.50272,-35.9427
289.52365,-36.2868
290.54462,-0.0496
291.56555,-17.8616
292.58652,-35.8917
293.60745,-36.1523
294.62842,-36.2203
295.64938,-27.5443
296.67032,-36.5346
297.69128,-44.133
298.71222,-36.0022
299.73318,-35.474
300.75412,-6.1158
301.77509,-35.5392
302.79602,-36.1778
303.81699,-35.9286
304.83795,-36.0249
305.85889,-35.3522
306.87985,-36.1863
307.90079,-35.6737
308.92175,-34.5508
309.94269,-34.3101
310.96365,-36.2727
311.98459,-35.5547
313.00555,-35.3664
314.02652,-34.2987
315.04745,-3.3786
316.06842,-35.2291
317.08936,-35.3083
318.11032,-35.6539
319.13126,-36.3746
320.15222,-37.1704
321.17316,-35.416
322.19412,-34.3681
